ﻣﺑﻠﻎ ﻧﮭﺎﯾﯽ,ﺟزء ﻣواد و لوازم مصرفی,جزء فنی,جزء حرفه ای,طﺒﻘﮫ ﺑﻨﺪی ﺧﺪﻣﺖ,ﺷﺮح ﺧﺪﻣﺖ,کد,ردیف,Service_id
"Rial 5,361,300",2.45,3.64,3.3,اندو دانتیکس/پالپوتومی,درمان پالپ یا پرکردگی قابل جذب-دندان قدامي، شیری جدا از ترمیم نهایی (پالپکتومی شیری قدامی),D3230,67.0,40075
"Rial 6,678,700",2.45,4.97,3.7,اندو دانتیکس/پالپوتومی,درمان پالپ (ترمیم قابل جذب),D3240,68.0,40076
,,,,,دندان خلفی شیری (جدا از ترمیم نهایی),,,40077
"Rial 10,386,020",9.97,3.15,10.2,اندو دانتیکس/پالپوتومی,درمان اندو-دندان قدامي جدا از ترمیم نهایی,D3310,69.0,40078
"Rial 11,915,540",11.19,3.81,11.5,اندو دانتیکس/درمان اندو در دندان‌های دائمی و شیری دارای بدون دندان جانشین,درمان اندو-دندان پره مولر جدا از ترمیم نهایی,D3320,70.0,40079
"Rial 14,391,460",13.61,4.51,14.0,اندو دانتیکس/درمان اندو در دندانهای دائمی و شیری دارای بدون دندان جانشین,درمان اندو-دندان مولر جدا از ترمیم نهایی,D3330,71.0,40080
"Rial 7,738,060",13.61,1.82,4.0, اندو دانتیکس/درمان اندو در دندانهای دائمی و شیری دارای بدون دندان جانشین,ترمیم داخلی ریشه در ضایعات,D3333,72.0,40081
,,,,, پرفوراسیون,,,40082
"Rial 12,152,220",9.97,4.8,11.0,اندو دانتیکس/درمان مجدد اندو,درمان مجدد دندانی که قبلا درمان ریشه شده-قدامي,D3346,73.0,40083
"Rial 14,374,140",11.19,5.71,13.4,اندو دانتیکس/درمان مجدد اندو,درمان مجدد دندانی که قبلا درمان ریشه شده-پره مولر,D3347,74.0,40084
"Rial 17,445,860",13.61,6.8,16.5,اندو دانتیکس/درمان مجدد اندو,درمان مجدد دندانی که قبلا درمان ریشه شده-مولر,D3348,75.0,40085
"Rial 9,315,860",13.61,3.15,5.0,اندو دانتیکس/درمان مجدد اندو,اپکسیفیکاسیون/کلسیفیکاسیون مجدد,D3351,76.0,40086
,,,,,جلسه اول (بستن انتهای ریشه/ ترمیم کلسیفیک پرفوراسیونها، تحلیل ریشه و غیره),,,40087
"Rial 8,433,860",13.61,2.73,3.8,اندو دانتیکس/درمان مجدد اندو,اپکسیفیکاسیون/ کلسیفیکاسیون مجدد ,D3352,77.0,40088
,,,,,جایگذاری ماده درمانی موقت,,,40089
"Rial 11,039,260",13.61,3.64,8.0,اندو دانتیکس/درمان مجدد اندو,اپکسیفیکاسیون/ كلسيفيكاسیون مجدد - جلسه آخر (شامل درمان کامل ریشه,D3353,78.0,40090
,,,,, بستن انتهای ریشه/ ترمیم کلسیفیک پرفوراسيون‌ها، تحلیل ریشه و غیره),,,40091
"Rial 10,355,480",5.88,5.22,9.1,اندو دانتیکس/قطع نوک ریشه/خدمات درمانی اطراف ریشه,قطع نوک ریشه یا اپیکواکتومی-قدامي,D3410,79.0,40092
"Rial 11,418,880",5.88,5.75,10.5,اندو دانتیکس/قطع نوک ریشه/خدمات درمانی اطراف ریشه,قطع نوک ریشه یا اپیکواکتومی پره مولر ریشه اول,D3421,80.0,40093
"Rial 12,412,680",5.88,6.3,11.7,اندو دانتیکس/قطع نوک ریشه/خدمات درمانی اطراف ریشه,قطع نوك ریشه یا اپیکواکتومی مولر ریشه اول,D3425,81.0,40094
"Rial 5,204,880",5.88,1.3,5.0,اندو دانتیکس/قطع نوک ریشه/خدمات درمانی اطراف ریشه,قطع نوك ريشه یا اپیکواکتومی هر ريشه اضافي,D3426,82.0,40095
"Rial 6,246,080",5.88,3.52,3.0,اندو دانتیکس/قطع نوک ریشه/خدمات درمانی اطراف ریشه,جايگذاري مواد پركردگي از انتهاي ريشه یا رتروگراد-به ازاء هر ريشه ,D3430,83.0,40096
"Rial 8,154,680",5.88,4.73,5.0,اندو دانتیکس/قطع نوک ریشه/خدمات درمانی اطراف ریشه,قطع كامل ريشه-به ازاء هر ريشه (آمپوتاسیون),D3450,84.0,40097
"Rial 8,051,060",5.81,3.98,6.3,اندو دانتیکس/سایر درمانهای اندو, دونیم‌سازی دندان (همی سکشن),D3920,85.0,40098
"Rial 9,951,700",5.85,4.56,9.5,پریودانتیکس/خدمات جراحی,ژنژيوكتومي يا ژنژيوپلاستي-چهار دندان مجاور يا بيشتر يا فضاهاي محدود به دندان در هر كوادرانت,D4210,86.0,40099
"Rial 6,891,900",5.85,4.03,3.5,پریودانتیکس/خدمات جراحی,ژنژیوکتومی یا ژنژیوپلاستی-یک تا سه دندان هم جوار یا فضاهای محدود به دندان در هر كوادرانت,D4211,87.0,40100
"Rial 5,232,100",5.85,2.1,3.5,پریودانتیکس/خدمات جراحی,ژنژیوکتومی یا ژنژیوپلاستی جهت دسترسی درمانگر برای انجام درمان‌های ترمیمی-به ازاء هر دندان,D4212,88.0,40101
"Rial 11,837,420",7.37,5.47,10.9,پریودانتیکس/خدمات جراحی,فلپ ژنژيوال-چهار دندان هم جوار یا بیشتر یا فضاهای محدود به دندان در هر كوادرانت,D4240,89.0,40102
"Rial 9,687,620",7.37,4.03,8.8,پریودانتیکس/خدمات جراحی,فلپ ژنژيوال-یک تا سه دندان هم جوار یا بیشتر یا فضاهای محدود به دندان در هر كوادرانت,D4241,90.0,40103
"Rial 10,321,020",7.37,4.06,10.2,پریودانتیکس/خدمات جراحی,افزایش طول تاج کلینیکی-بافت سخت,D4249,91.0,40104
"Rial 10,180,620",7.37,4.25,9.5,پریودانتیکس/خدمات جراحی,پیوند جایگزینی استخوان-اولین موضع در كوادرانت,D4263,92.0,40105
"Rial 7,146,620",7.37,1.58,7.8,پریودانتیکس/خدمات جراحی,پیوند جایگزینی استخوان-هر موضع اضافی در كوادرانت,D4264,93.0,40106
"Rial 8,320,020",7.37,3.55,6.6,پریودانتیکس/خدمات جراحی,کاربرد مواد بيولوژيك جهت کمک به,D4265,94.0,40107
Rial 0,,,,,رژنراسیون بافت نرم و استخوان,,,40108
"Rial 10,000,420",7.37,1.82,13.9,پریودانتیکس/خدمات جراحی,رژنراسيون هدایت شده بافتي-,D4266,95.0,40109
Rial 0,,,,,غشای قابل جذب، به ازای هر موضع,,,40110
"Rial 11,042,820",7.37,3.89,12.2,پریودانتیکس/خدمات جراحی,پروسه پیوند بافت نرم پایه دار,D4270,96.0,40111
"Rial 9,538,420",7.37,3.15,10.2,پریودانتیکس/خدمات جراحی,پروسه وج مزیال/دیستال، تک دندان (زمانی که به همراه پروسه های جراحی در همان ناحیه آناتومیکال انجام نمی شود),D4274,97.0,40112
"Rial 19,490,420",7.37,4.73,30.0,پریودانتیکس/خدمات جراحی,پیوند آزاد بدون پایه بافت نرم-اولین دندان یا موقعیت دندانی در فضای بی‌دندانی,D4277,98.0,40113
"Rial 8,307,820",7.37,1.82,10.0,پریودانتیکس/خدمات جراحی,پروسه پیوند بافت نرم آزاد (شامل موضع جراحی گیرنده و دهنده) هر دندان، ایمپلنت، یا فضای بی دندانی اضافه در همان محل پیوند,D4278,99.0,40114
"Rial 11,224,420",7.37,7.23,6.0,پریودانتیکس/درمان های غیر جراحی پریو دنتال,اسپلینت موقت ـ خارج تاجی,D4321,100.0,40115
"Rial 9,705,600",4.6,5.0,9.0,پریودانتیکس/درمان های غیر جراحی پریو دنتال,جرم گیری در حضور التهاب متوسط یا شدید عمومی_ تمام دهان پس از بررسی دهانی ,D4346,101.0,40116
"Rial 33,262,740",24.59,16.74,25.0,پروتزهای دندانی، متحرک/ دست دندان کامل (شامل خدمات معمول پس از تحویل),دنچر کامل ماکسیلا,D5110,102.0,40117
"Rial 33,262,740",24.59,16.74,25.0,پروتزهای دندانی، متحرک/ دست دندان کامل (شامل خدمات معمول پس از تحویل),دنچر کامل مندیبل,D5120,103.0,40118
"Rial 33,659,740",24.59,15.94,27.5,پروتزهای دندانی، متحرک/ دست دندان کامل (شامل خدمات معمول پس از تحویل),دنچر فوری، ماکسیلا,D5130,104.0,40119
"Rial 33,659,740",24.59,15.94,27.5,پروتزهای دندانی، متحرک/ دست دندان کامل (شامل خدمات معمول پس از تحویل),دنچر فوری، مندبیل,D5140,105.0,40120
"Rial 24,780,600",15.5,14.36,17.0,پروتزهای دندانی، متحرک/ دنچر پارسیل (شامل خدمات معمول پس از تحویل),پروتز پارسیل  ماکسیلاـ با بيس رزینی (شامل هرگونه کلاسپ  یا موارد گیر، رست ها و دندانها),D5211,106.0,40121
"Rial 23,929,200",15.5,13.37,17.0,پروتزهای دندانی، متحرک/ دنچر پارسیل (شامل خدمات معمول پس از تحویل),پروتز پارسیل  مندیبل-با بيس رزینی (شامل هرگونه کلاسپ یا موارد گیر، رست ها و دندانها),D5212,107.0,40122
"Rial 32,469,400",15.5,16.74,30.0,پروتزهای دندانی، متحرک/ دنچر پارسیل (شامل خدمات معمول پس از تحویل),پروتز پارسیل متحرک اصلی فک بالا-فريم فلزی ریختگی به همراه دنچر با بيس رزینی (شامل کلاسپ، رست و دندان معمولی) پارسیل کرم کبالت,D5213,108.0,40123
"Rial 32,469,400",15.5,16.74,30.0,پروتزهای دندانی، متحرک/ دنچر پارسیل (شامل خدمات معمول پس از تحویل),پروتز پارسیل متحرک اصلی فک پایین-فريم فلزی ریختگی به همراه دنچر با بيس رزینی (شامل کلاسپ، رست و دندان معمولی) پارسیل کرم کبالت,D5214,109.0,40124
"Rial 25,795,400",15.5,13.37,21.3,پروتزهای دندانی، متحرک/ دنچر پارسیل (شامل خدمات معمول پس از تحویل),پروتز پارسیل متحرک قابل انعطاف ماکسیلا (شامل هرگونه کلاسپ، رست و دندان معمولی),D5225,110.0,40125
"Rial 25,795,400",15.5,13.37,21.3,پروتزهای دندانی، متحرک/ دنچر پارسیل (شامل خدمات معمول پس از تحویل),پروتز پارسیل متحرک قابل انعطاف فک پایین (شامل هر گونه کلاسپ، رست و دندان‌های معمولی),D5226,111.0,40126
"Rial 8,885,400",13.0,3.89,3.0,پروتزهای دندانی/متحرک/تعمیرات پروتز کامل,تعمیر بیس شکسته پروتز کامل، مندیبل,D5511,112.0,40127
"Rial 8,885,400",13.0,3.89,3.0,پروتزهای دندانی/متحرک/تعمیرات پروتز کامل,تعمیر بیس شکسته پروتز کامل، ماکسیلا,D5512,113.0,40128
"Rial 7,815,000",13.0,3.15,2.0,پروتزهای دندانی/متحرک/تعمیرات پروتز کامل,جایگزینی دندان‌های از دست داده یا شکسته-پروتز کامل (هر دندان),D5520,114.0,40129
"Rial 6,564,280",5.88,3.89,3.0,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,تعمیر بیس شکسته پروتز پارسیل مندیبل,D5611,115.0,40130
"Rial 6,564,280",5.88,3.89,3.0,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,تعمیر بیس شکسته پروتز پارسیل ماکسیلا,D5612,116.0,40131
"Rial 8,552,800",13.0,3.15,3.7,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,تعمیر یا جایگزینی مواد ریتینر/كلاسپ شکسته به ازای هر دندان,D5630,117.0,40132
"Rial 8,249,000",13.0,3.15,3.0,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,جایگزینی دندان‌های شکسته پروتز پارسیل-به ازاء هر دندان,D5640,118.0,40133
"Rial 8,249,000",13.0,3.15,3.0,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,اضافه کردن دندان به دنچر پارسیل موجود,D5650,119.0,40134
"Rial 9,117,000",13.0,3.15,5.0,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,اضافه کردن كلاسپ به دنچر پارسیل موجود به ازای هر دندان,D5660,120.0,40135
"Rial 20,205,600",15.5,10.1,14.9,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,جایگزینی همه دندان‌ها و آکریل روی اسكلت فلزی (ماکسیلا),D5670,121.0,40136
"Rial 20,205,600",15.5,10.1,14.9,پروتزهای دندانی/متحرک/تعمیرات پروتز پارسیل,جایگزینی همه دندان‌ها و آکریل روی اسكلت فلزی (مندیبل),D5671,122.0,40137
"Rial 15,017,860",6.11,10.1,10.0,پروتزهای دندانی/متحرک/پروسه های ری بیس,ري بيس دنچر کامل ماکسیلا,D5710,123.0,40138
"Rial 14,166,460",6.11,9.11,10.0,پروتزهای دندانی/متحرک/پروسه های ری بیس,ري بيس دنچر کامل ماندیبل,D5711,124.0,40139
"Rial 8,448,660",6.11,4.48,6.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر کامل ماکسیلا (داخل مطب),D5730,125.0,40140
"Rial 8,448,660",6.11,4.48,6.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر کامل مندیبل (داخل مطب),D5731,126.0,40141
"Rial 8,014,660",6.11,4.48,5.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر پارسیل ماکسیلا (داخل مطب),D5740,127.0,40142
"Rial 8,014,660",6.11,4.48,5.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر پارسیل مندیبل (داخل مطب),D5741,128.0,40143
"Rial 10,322,860",6.11,5.65,8.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر کامل ماکسیلا (داخل لابراتوار),D5750,129.0,40144
"Rial 10,322,860",6.11,5.65,8.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر کامل مندیبل (داخل لابراتوار),D5751,130.0,40145
"Rial 10,322,860",6.11,5.65,8.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر پارسیل ماکسیلا (داخل لابراتوار),D5760,131.0,40146
"Rial 10,322,860",6.11,5.65,8.0,پروتزهای دندانی/متحرک/پروسه های ری لاین دنچر,ري لاين دنچر پارسیل مندیبل (داخل لابراتوار),D5761,132.0,40147
"Rial 15,756,860",6.11,9.95,12.0,پروتزهای دندانی/متحرک/پروتزهای موقت ,دنچر کامل موقت (ماکسیلا),D5810,133.0,40148
"Rial 15,756,860",6.11,9.95,12.0,پروتزهای دندانی/متحرک/پروتزهای موقت ,دنچر کامل موقت (مندیبل),D5811,134.0,40149
"Rial 27,303,600",7.4,15.57,26.5,پروتزهای دندانی/متحرک/سایر خدمات پروتزی متحرک,اوردنچر-کامل ماکسیلا,D5863,135.0,40150
"Rial 27,305,600",7.4,15.32,27.0,پروتزهای دندانی/متحرک/سایر خدمات پروتزی متحرک,اوردنچر-پارسیل ماکسیلا,D5864,136.0,40151
"Rial 27,303,600",7.4,15.57,26.5,پروتزهای دندانی/متحرک/سایر خدمات پروتزی متحرک,اوردنچر-کامل مندیبل,D5865,137.0,40152
"Rial 27,520,600",7.4,15.57,27.0,پروتزهای دندانی/متحرک/سایر خدمات پروتزی متحرک,اوردنچر-پارسیل مندیبل,D5866,138.0,40153
"Rial 49,788,800",7.4,17.24,75.0,پروتزهای ماکسیلو فاشیال(فک وصورت),پروتز پر کننده، نهایی (آبچوراتور),D5932,139.0,40154
"Rial 13,867,400",7.4,5.75,15.0,پروتزهای ماکسیلو فاشیال(فک وصورت),پروتز پر کننده، تغییر و اصلاح,D5933,140.0,40155
"Rial 27,704,600",7.4,14.27,30.0,پروتزهای ماکسیلو فاشیال(فک وصورت),Feeding Aid كمك‌كننده براي غذا خوردن,D5951,141.0,40156
"Rial 9,907,400",7.4,5.99,5.4,پروتزهای ماکسیلو فاشیال(فک وصورت),استنت جراحی,D5982,142.0,40157
